run_timestamp_jst,score,regime,signal,nikkei_change_pct,dow_change_pct,nasdaq_change_pct,sp500_change_pct,vix_change_pct,tnx_change_pct,gold_change_pct,btc_change_pct,usdjpy_change_pct,top_sector_1,top_sector_2,top_sector_3,laggard_sector_1,laggard_sector_2,top_recent_event,top_recent_event_impact,top_upcoming_event,top_upcoming_event_impact,reason_1,reason_2,reason_3,reason_4,reason_5
2026-05-31 03:48:41,5,強めのリスクオン,研究用シグナル: Growth優位,2.53,0.72,0.2,0.22,-2.67,-0.04,1.36,0.75,-0.01,テクノロジー,金融,素材,ヘルスケア,公益,,,,,日経平均が上昇,NYダウが上昇,NASDAQが上昇,S&P500が上昇,VIXが低下
2026-05-31 04:19:10,5,強めのリスクオン,Growth優位,2.53,0.72,0.2,0.22,-2.67,-0.04,1.36,0.78,-0.01,テクノロジー,金融,素材,ヘルスケア,公益,,,,,日経平均が上昇,NYダウが上昇,NASDAQが上昇,S&P500が上昇,VIXが低下
2026-05-31 09:28:51,5,強めのリスクオン,Growth優位,2.53,0.72,0.2,0.22,-2.67,-0.04,1.36,0.68,-0.01,テクノロジー,金融,素材,ヘルスケア,公益,,,,,日経平均が上昇,NYダウが上昇,NASDAQが上昇,S&P500が上昇,VIXが低下
2026-05-31 11:39:01,5,強めのリスクオン,Growth優位,2.53,0.72,0.2,0.22,-2.67,-0.04,1.36,0.62,-0.01,テクノロジー,金融,資本財,生活必需,エネルギー,,,,,日経平均が上昇,NYダウが上昇,NASDAQが上昇,S&P500が上昇,VIXが低下
2026-05-31 11:45:19,5,強めのリスクオン,Growth優位,2.53,0.72,0.2,0.22,-2.67,-0.04,1.36,0.67,-0.01,テクノロジー,金融,資本財,生活必需,エネルギー,,,,,日経平均が上昇,NYダウが上昇,NASDAQが上昇,S&P500が上昇,VIXが低下
2026-06-01 08:06:45,7,強めのリスクオン,Growth優位,2.53,0.72,0.2,0.22,-2.67,-0.04,0.15,0.25,0.07,テクノロジー,金融,資本財,生活必需,エネルギー,,,,,日経平均が上昇,NYダウが上昇,NASDAQが上昇,S&P500が上昇,VIXが低下
2026-06-01 21:12:55,5,強めのリスクオン,Growth優位,0.91,0.72,0.2,0.22,3.07,-0.04,-0.58,-2.31,0.13,テクノロジー,金融,資本財,生活必需,エネルギー,,,,,日経平均が上昇,NYダウが上昇,NASDAQが上昇,S&P500が上昇,VIXが上昇
2026-06-01 22:53:40,0,中立,様子見,0.91,-0.19,0.06,0.0,5.16,1.06,-1.36,-2.83,0.27,エネルギー,テクノロジー,金融,公益,一般消費,,,,,日経平均が上昇,NYダウが下落,NASDAQが上昇,VIXが上昇,米10年金利が上昇
2026-06-01 23:54:19,-1,中立,様子見,0.91,-0.47,0.04,-0.1,5.35,1.28,-1.53,-3.07,0.27,エネルギー,テクノロジー,通信,一般消費,素材,,,,,,日経平均が上昇,NYダウが下落,NASDAQが上昇,S&P500が下落,VIXが上昇
2026-06-02 00:04:17,-1,中立,様子見,2.53,-0.4,0.06,-0.09,4.83,1.32,-1.66,-2.84,0.28,エネルギー,テクノロジー,通信,一般消費,公益,,,,,,日経平均が上昇,NYダウが下落,NASDAQが上昇,S&P500が下落,VIXが上昇
2026-06-02 00:34:14,1,中立,様子見,2.53,-0.2,0.33,0.11,4.9,1.12,-1.39,-3.18,0.24,テクノロジー,エネルギー,通信,公益,一般消費,,,,,,日経平均が上昇,NYダウが下落,NASDAQが上昇,S&P500が上昇,VIXが上昇
